source_lang,target_lang,n_gram,perplexity
it,es,3,0.057110519700897595
it,fr,3,0.04486396653701767
it,in,3,0.03495546904808156
it,it,3,0.13003447657941258
it,nl,3,0.03569248389164507
it,pt,3,0.053739619084955184
it,tl,3,0.04792552663893532
it,en,4,0.028870187444146333
it,es,4,0.03980184230569941
it,fr,4,0.025409096734407978
it,in,4,0.014920806977925716
it,it,4,0.24903478870267082
it,nl,4,0.017305519933726105
it,pt,4,0.037260343073612916
it,tl,4,0.03060636561378706
nl,en,1,0.026272370141432144
nl,es,1,0.026891783770303462
nl,fr,1,0.0256868111602935
nl,in,1,0.02589706335036899
nl,it,1,0.026401255128940492
nl,nl,1,0.02794826952006516
nl,pt,1,0.02675581230038854
nl,tl,1,0.024183981821370076
nl,en,2,0.044356929022242614
nl,es,2,0.04111514243741602
nl,fr,2,0.041249836377531095
nl,in,2,0.0400203735264095
nl,it,2,0.04057088508381899
nl,nl,2,0.05821921511295351
nl,pt,2,0.0387807585172185
nl,tl,2,0.04078239769222741
nl,en,3,0.054953768740440306
nl,es,3,0.04331263038518984
nl,fr,3,0.044826797527401256
nl,in,3,0.039460424557928205
nl,it,3,0.04361969536999564
nl,nl,3,0.11862368127063486
nl,pt,3,0.04002108743134827
nl,tl,3,0.0482281390240643
nl,en,4,0.03936843146263612
nl,es,4,0.022867555551088034
nl,fr,4,0.025488430456391813
nl,in,4,0.01803647052648444
nl,it,4,0.02391807990591152
nl,nl,4,0.24662690175996202
nl,pt,4,0.02020441008032297
nl,tl,4,0.028430548565915183
pt,en,1,0.025179374944963723
pt,es,1,0.029181166000202957
pt,fr,1,0.026720742897574146
pt,in,1,0.02506303664575115
pt,it,1,0.026996281247090623
pt,nl,1,0.02535604669841942
pt,pt,1,0.03027121385861738
pt,tl,1,0.023850740810194334
pt,en,2,0.03811084560263021
pt,es,2,0.05471430978559211
pt,fr,2,0.04315037761821003
pt,in,2,0.0355551063630997
pt,it,2,0.04892095204552613
pt,nl,2,0.036150610827276726
pt,pt,2,0.06655566586791915
pt,tl,2,0.0379792642075029
pt,en,3,0.042579989097131
pt,es,3,0.06274809542089649
pt,fr,3,0.04140412883902859
pt,in,3,0.03333328114821322
pt,it,3,0.053650900195243933
pt,nl,3,0.03343520851513855
pt,pt,3,0.13832198993321487
pt,tl,3,0.04474483053395249
pt,en,4,0.02358059461010689
pt,es,4,0.04319648652702124
pt,fr,4,0.0207234537073827
pt,in,4,0.013006187825796137
pt,it,4,0.03403514290063628
pt,nl,4,0.01484419680990999
pt,pt,4,0.26047400843524615
pt,tl,4,0.027249733010646933
tl,en,1,0.025282606774169162
tl,es,1,0.025329193713113856
tl,fr,1,0.022907491371698337
tl,in,1,0.027644297274042783
tl,it,1,0.025367453925409195
tl,nl,1,0.02465765847289985
tl,pt,1,0.024743893724747015
tl,tl,1,0.027524348783018644
tl,en,2,0.04467124974550656
tl,es,2,0.04529108395348618
tl,fr,2,0.03744987278959178
tl,in,2,0.04809339063516238
tl,it,2,0.045418233986547964
tl,nl,2,0.04011654652785905
tl,pt,2,0.04209825537863549
tl,tl,2,0.06174116571611222
tl,en,3,0.05791278553477303
tl,es,3,0.04925921213227451
tl,fr,3,0.03868380992218684
tl,in,3,0.051224918333941404
tl,it,3,0.0504395989567894
tl,nl,3,0.04155612801936273
tl,pt,3,0.045949204559440855
tl,tl,3,0.1323058902470859
tl,en,4,0.04968025755918786
tl,es,4,0.030623829015327057
tl,fr,4,0.021047689080809652
tl,in,4,0.030474893778871973
tl,it,4,0.033902520136250384
tl,nl,4,0.02157341756233765
tl,pt,4,0.0274299268379183
tl,tl,4,0.2668341777178181
